CustomerID,22961,22630,22139,21080,85099B,20726,20719,20750,23084,20725,21212,22551,22629,22328,21731,22556,22554,22423,22326,POST
12347,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,0,4,0,0
12348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
12350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5
12353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12354,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
12355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12356,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1
12357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12359,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
12360,0,1,1,1,0,0,0,1,0,0,0,1,0,3,0,1,2,0,3,3
12361,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
12362,0,4,1,1,2,3,0,3,0,2,0,2,5,3,1,0,3,1,4,10
12363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12364,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12367,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12371,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
12372,0,3,0,0,0,0,0,2,0,0,0,2,3,2,0,3,0,0,3,3
12373,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
12374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
12377,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1
12378,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0
12379,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,2
12380,0,0,0,0,2,3,1,0,1,2,1,0,0,1,2,0,0,0,3,4
12381,0,1,1,0,0,0,0,0,2,0,1,0,1,0,2,0,0,3,0,5
12383,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,5
12384,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2
12386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12390,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
12391,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12393,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
12394,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2
12395,0,4,0,0,1,0,5,0,2,0,1,2,3,0,2,1,0,3,6,12
12397,1,2,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,2,2,2
